id;sold_price;basketball;weekday;rolling_supply_estimate;bitcoin_closing_price;ethereum_closing_price;seller;seller_feedback_score;card_listing_format_buy_it_now;active_player;card_id;card_grade
1;6;1;Tuesday;66789;46481.1;1768.04;1967dew;81445;1;1;donovan mitchell-2017-1;9
2;0.99;0;Sunday;71601;33114.36;1314.99;mowmowe-8475;1242;0;0;daisuke matsuzaka-2007-0;10
3;10.5;1;Sunday;68013;59302.32;1854.56;bestquality718;1110;0;1;coby white-2019-1;8
4;24.27;0;Monday;105296;55907.2;1791.7;probstein123;828093;0;1;ronald acuna jr.-2018-0;6
5;150.5;0;Saturday;90742;48912.38;1654.74;705gordy;3173;0;0;frank robinson-1960-0;7
6;35;1;Monday;72460;54207.32;1781.99;probstein123;827746;0;1;kawhi leonard-2018-1;10
7;25;0;Tuesday;109699;56804.9;1806.97;psagradedcards.com;28508;1;0;ray boone-1954-0;9
8;35.99;0;Thursday;77259;36926.06;1594.76;sonic20;891;1;0;duke snider-1960-0;5
9;64.99;1;Monday;69067;55907.2;1791.7;scvsportscards;5690;1;1;michael porter-2019-1;9
10;235;0;Wednesday;88949;52149.01;1848.46;bigboydsportscards3;338856;0;1;mike trout-2010-0;9
11;50;1;Tuesday;72317;56804.9;1806.97;craftydaddies;529;0;1;zion williamson-2019-1;9
12;174.99;1;Friday;67093;48927.3;1533.27;kennedcare_0;2547;1;1;luka dončić-2018-1;9
13;115;0;Saturday;86959;56099.52;1919.53;paulid;4225;1;0;kirby puckett-1985-0;9
14;5.5;0;Monday;89539;49631.24;1564.71;hoodyscollectibles;70260;0;0;mike schmidt-1978-0;7
15;20;0;Friday;#N/A;58346.65;1817.62;south.sound.sports.cards;4018;1;0;don elston-1963-0;8
16;89;0;Sunday;68158;32289.38;1391.61;devilmansports;1415;0;0;robin yount-1975-0;5
17;1475;1;Thursday;59697;30825.7;1121.57;pwcc_auctions;277404;0;1;ja morant-2019-1;9.5
18;9.25;0;Friday;67768;33005.76;1236.51;battersbox;244797;1;0;norm cash-1964-0;6
19;43.56;0;Tuesday;68132;36069.81;1377.3;thesouthpawcards;18920;0;0;kirby puckett-1992-0;10
20;30.01;1;Monday;63247;49631.24;1564.71;sportscardnerds;147;0;0;michael jordan-1997-1;8
21;179.55;1;Monday;56569;32366.39;1324.41;probstein123;827316;0;1;lebron james-2018-1;10
22;16.5;1;Sunday;68013;59302.32;1854.56;swordfish013;4890;0;0;tim duncan-1997-1;6.5
23;199.95;1;Saturday;#N/A;58313.64;1812.63;badgers2000;6330;1;1;kevin porter-2019-1;9.5
24;199.99;0;Sunday;#N/A;57523.42;1788.22;surfcitycards;23910;0;0;roberto clemente-1968-0;5.5
25;79;0;Friday;89605;55888.13;1960.16;coolcardsgallery;3324;0;0;ken griffey-1989-0;9.5
26;325;0;Thursday;89985;51679.8;1937.45;jackiduke;1201;0;0;cal ripken jr.-1999-0;8
27;1;0;Friday;92633;46339.76;1446.03;oldsportcollectibles;30154;1;0;haywood sullivan-1962-0;4
28;815;1;Tuesday;65905;48378.99;1492.61;pipen103040;491;0;0;steve nash-1996-1;10
29;328.33;1;Wednesday;57988;35547.75;1382.27;lan.3;123764;0;1;zion williamson-2019-1;9.5
30;0.99;0;Tuesday;94731;48378.99;1492.61;burbanksportscards;349317;1;0;bill russell-1973-0;5
